# subtitle mux queue
# generated_at	2026-06-08 10:00:06
# scan_roots	/Volumes/看	/Volumes/导演们	/Volumes/分类
# columns: status<TAB>folder_path<TAB>message
# status: PENDING, DONE, FAILED
DONE	/Volumes/分类/喜剧/迟到的婚礼	completed 2026-06-08 11:25:14
DONE	/Volumes/分类/喜剧/阿尔菲	completed 2026-06-08 15:37:19
DONE	/Volumes/分类/喜剧/隔壁的八重	completed 2026-06-08 11:25:39
DONE	/Volumes/分类/怪兽/绿液惊魂	completed 2026-06-08 11:35:01
DONE	/Volumes/分类/恐怖/恐怖女子高校	completed 2026-06-08 11:35:20
DONE	/Volumes/分类/惊悚·犯罪·动作/11：14	completed 2026-06-08 11:36:33
DONE	/Volumes/分类/惊悚·犯罪·动作/你从未在此	completed 2026-06-08 11:37:46
DONE	/Volumes/分类/惊悚·犯罪·动作/后院	completed 2026-06-08 11:38:20
DONE	/Volumes/分类/惊悚·犯罪·动作/告密者	completed 2026-06-08 11:38:43
DONE	/Volumes/分类/惊悚·犯罪·动作/审问	completed 2026-06-08 11:39:08
DONE	/Volumes/分类/惊悚·犯罪·动作/无水之池	completed 2026-06-08 11:39:29
DONE	/Volumes/分类/惊悚·犯罪·动作/来自玛茹西亚的信	completed 2026-06-08 11:39:53
DONE	/Volumes/分类/惊悚·犯罪·动作/真相至上	completed 2026-06-08 11:40:19
DONE	/Volumes/分类/惊悚·犯罪·动作/被窃油画的假设	completed 2026-06-08 11:40:35
DONE	/Volumes/分类/战争/光之屋	completed 2026-06-08 15:38:11
DONE	/Volumes/分类/战争/最后的列车	completed 2026-06-08 11:41:26
DONE	/Volumes/分类/歌舞/是的	completed 2026-06-08 11:48:58
DONE	/Volumes/分类/爱情/情定日落桥	completed 2026-06-08 11:50:10
DONE	/Volumes/分类/爱情/我一直深爱着你	completed 2026-06-08 11:51:20
DONE	/Volumes/分类/爱情/爱情灵药	completed 2026-06-08 11:52:41
DONE	/Volumes/分类/爱情/爱的回忆	completed 2026-06-08 11:53:56
DONE	/Volumes/分类/短篇集/七月	completed 2026-06-08 11:54:24
DONE	/Volumes/分类/短篇集/二十岁之恋	completed 2026-06-08 15:38:42
DONE	/Volumes/分类/短篇集/亚尔斯	completed 2026-06-08 11:54:57
DONE	/Volumes/分类/短篇集/人权故事（短篇集）	completed 2026-06-08 11:56:07
DONE	/Volumes/分类/短篇集/全州电影节三人三色/About Love	completed 2026-06-08 11:56:49
DONE	/Volumes/分类/短篇集/全州电影节三人三色/No Day Off	completed 2026-06-08 11:57:10
DONE	/Volumes/分类/短篇集/全州电影节三人三色/Twelve Twenty	completed 2026-06-08 11:57:34
