folder	current_movie	target_movie	og_movie_count	subtitle_count	ignored_count	og_movies
/Volumes/导演们/卡尔·西奥多·德莱叶/索伦森	/Volumes/导演们/卡尔·西奥多·德莱叶/索伦森/索伦森.Thorvaldsen.1949.Carl.Theodor.Dreyer.mkv	/Volumes/导演们/卡尔·西奥多·德莱叶/索伦森.Thorvaldsen.1949.Carl.Theodor.Dreyer.mkv	1	2	0	/Volumes/导演们/卡尔·西奥多·德莱叶/索伦森/OG.索伦森.Thorvaldsen.1949.Carl.Theodor.Dreyer.mkv
/Volumes/导演们/卡尔·西奥多·德莱叶/词语	/Volumes/导演们/卡尔·西奥多·德莱叶/词语/词语.Ordet.1955.BFI.BDRip.X264.iNT-TLF.mkv	/Volumes/导演们/卡尔·西奥多·德莱叶/词语.Ordet.1955.BFI.BDRip.X264.iNT-TLF.mkv	1	2	0	/Volumes/导演们/卡尔·西奥多·德莱叶/词语/OG.词语.Ordet.1955.BFI.BDRip.X264.iNT-TLF.mkv
/Volumes/导演们/卡尔·西奥多·德莱叶/铁轨	/Volumes/导演们/卡尔·西奥多·德莱叶/铁轨/铁轨.Rotaie-M.Camerini.1929.mkv	/Volumes/导演们/卡尔·西奥多·德莱叶/铁轨.Rotaie-M.Camerini.1929.mkv	1	1	0	/Volumes/导演们/卡尔·西奥多·德莱叶/铁轨/OG.铁轨.Rotaie-M.Camerini.1929.mkv
/Volumes/导演们/卡洛斯·绍拉/一代名画家戈雅在波尔多	/Volumes/导演们/卡洛斯·绍拉/一代名画家戈雅在波尔多/一代名画家戈雅在波尔多.Goya.in.Bordeaux.1999.DVDRip.XviD-Dionysus.mkv	/Volumes/导演们/卡洛斯·绍拉/一代名画家戈雅在波尔多.Goya.in.Bordeaux.1999.DVDRip.XviD-Dionysus.mkv	1	2	0	/Volumes/导演们/卡洛斯·绍拉/一代名画家戈雅在波尔多/OG.一代名画家戈雅在波尔多.Goya.in.Bordeaux.1999.DVDRip.XviD-Dionysus.mkv
/Volumes/导演们/卡洛斯·绍拉/圣力三重奏	/Volumes/导演们/卡洛斯·绍拉/圣力三重奏/圣力三重奏.Stress.es.tres.tres.1968.mkv	/Volumes/导演们/卡洛斯·绍拉/圣力三重奏.Stress.es.tres.tres.1968.mkv	1	2	0	/Volumes/导演们/卡洛斯·绍拉/圣力三重奏/OG.圣力三重奏.Stress.es.tres.tres.1968.mkv
/Volumes/导演们/卡洛斯·绍拉/安娜与狼	/Volumes/导演们/卡洛斯·绍拉/安娜与狼/安娜与狼.Ana.y.los.lobos.1973.mkv	/Volumes/导演们/卡洛斯·绍拉/安娜与狼.Ana.y.los.lobos.1973.mkv	1	2	0	/Volumes/导演们/卡洛斯·绍拉/安娜与狼/OG.安娜与狼.Ana.y.los.lobos.1973.mkv
/Volumes/导演们/卡洛斯·绍拉/布努埃尔与圆桌骑士	/Volumes/导演们/卡洛斯·绍拉/布努埃尔与圆桌骑士/布努埃尔与圆桌骑士.Bunuel.Y.La.Mesa.Del.Rey.Salomon.2001.mkv	/Volumes/导演们/卡洛斯·绍拉/布努埃尔与圆桌骑士.Bunuel.Y.La.Mesa.Del.Rey.Salomon.2001.mkv	1	1	0	/Volumes/导演们/卡洛斯·绍拉/布努埃尔与圆桌骑士/OG.布努埃尔与圆桌骑士.Bunuel.Y.La.Mesa.Del.Rey.Salomon.2001.mkv
/Volumes/导演们/卡洛斯·绍拉/被蒙上的双眼	/Volumes/导演们/卡洛斯·绍拉/被蒙上的双眼/被蒙上的双眼.Los.Ojos.Vendados.Carlos.Saura.1978.Eng.mkv	/Volumes/导演们/卡洛斯·绍拉/被蒙上的双眼.Los.Ojos.Vendados.Carlos.Saura.1978.Eng.mkv	1	1	0	/Volumes/导演们/卡洛斯·绍拉/被蒙上的双眼/OG.被蒙上的双眼.Los.Ojos.Vendados.Carlos.Saura.1978.Eng.mkv
/Volumes/导演们/吉洛·彭泰科沃/阿尔及尔之战	/Volumes/导演们/吉洛·彭泰科沃/阿尔及尔之战/阿尔及尔之战.The.Battle.Of.Algiers.1966.CC.BDRip.X264.iNT-TLF.mkv	/Volumes/导演们/吉洛·彭泰科沃/阿尔及尔之战.The.Battle.Of.Algiers.1966.CC.BDRip.X264.iNT-TLF.mkv	1	1	0	/Volumes/导演们/吉洛·彭泰科沃/阿尔及尔之战/OG.阿尔及尔之战.The.Battle.Of.Algiers.1966.CC.BDRip.X264.iNT-TLF.mkv
/Volumes/导演们/大卫·林奇/我心狂野	/Volumes/导演们/大卫·林奇/我心狂野/我心狂野.Wild.At.Heart.1990.BDRip.X264-TLF.mkv	/Volumes/导演们/大卫·林奇/我心狂野.Wild.At.Heart.1990.BDRip.X264-TLF.mkv	1	1	0	/Volumes/导演们/大卫·林奇/我心狂野/OG.我心狂野.Wild.At.Heart.1990.BDRip.X264-TLF.mkv
