folder	subdir	note_or_subtitle_count	movie_count	other_file_count	nested_dir_count
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/小雀斑马克斯与幽灵们	1	1	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/羽毛精灵	0	1	1	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/背信者与流浪汉	4	2	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/至关紧要的岁月	1	1	0	0
/Volumes/导演们/朱拉·亚库比斯克	/Volumes/导演们/朱拉·亚库比斯克/诺娜和埃斯特	2	1	0	0
/Volumes/导演们/林赛·安德森	/Volumes/导演们/林赛·安德森/假如	0	1	2	0
/Volumes/导演们/林赛·安德森	/Volumes/导演们/林赛·安德森/如此运动生涯	0	1	2	0
/Volumes/导演们/林赛·安德森	/Volumes/导演们/林赛·安德森/幸运儿	2	2	0	0
/Volumes/导演们/斯坦利·库布里克/全金属外壳	/Volumes/导演们/斯坦利·库布里克/全金属外壳/全金属外壳幕后花絮及猪脚访谈录	feature/extras-like subdir skipped
/Volumes/导演们/斯坦利·库布里克/全金属外壳	/Volumes/导演们/斯坦利·库布里克/全金属外壳/全金属外壳：善与恶之间	0	1	2	0
/Volumes/导演们/斯坦利·库布里克/2001太空漫游	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/2001：创造神话	1	2	0	0
/Volumes/导演们/斯坦利·库布里克/2001太空漫游	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/看见未来的视野：2001的预言	1	2	0	0
/Volumes/导演们/斯坦利·库布里克/2001太空漫游	/Volumes/导演们/斯坦利·库布里克/2001太空漫游/站在库布里克的肩上：2001的馈赠	1	2	0	0
/Volumes/导演们/斯坦利·库布里克/发条橙	/Volumes/导演们/斯坦利·库布里克/发条橙/制造“发条橙”大杂烩！	0	1	2	0
/Volumes/导演们/斯坦利·库布里克/发条橙	/Volumes/导演们/斯坦利·库布里克/发条橙/发条橙的回归	0	1	2	0
/Volumes/导演们/熊切和嘉	/Volumes/导演们/熊切和嘉/复仇之法	2	2	0	0
/Volumes/导演们/熊切和嘉	/Volumes/导演们/熊切和嘉/天线	1	1	0	0
/Volumes/导演们/熊切和嘉	/Volumes/导演们/熊切和嘉/揮発性の女	0	1	2	0
/Volumes/导演们/熊切和嘉	/Volumes/导演们/熊切和嘉/海炭市叙景	0	2	0	1
/Volumes/导演们/熊切和嘉	/Volumes/导演们/熊切和嘉/空之穴	0	2	4	0
/Volumes/导演们/熊切和嘉	/Volumes/导演们/熊切和嘉/青春击球棒	0	1	2	0
/Volumes/导演们/亚历山大·克鲁格	/Volumes/导演们/亚历山大·克鲁格/[德] 锲而不舍的雷妮·派克特.Die.Unbezaehmbare.Leni.Peickert.1970.D9.MiniSD-TLF	0	0	2	0
/Volumes/导演们/亚历山大·克鲁格	/Volumes/导演们/亚历山大·克鲁格/[德] 马戏院帐篷顶上的艺人.Die.Artisten.in.der.Zirkuskuppel：Ratlos.1968.D9.MiniSD-TLF	0	0	2	0
/Volumes/导演们/亚历山大·克鲁格	/Volumes/导演们/亚历山大·克鲁格/德国之秋	0	2	0	0
/Volumes/导演们/亚历山大·索科洛夫/苏联挽歌	/Volumes/导演们/亚历山大·索科洛夫/苏联挽歌/圣彼得堡日记-陀思妥耶夫斯基纪念碑揭幕	0	1	0	0
