folder	movie	root_subtitle_count	subdir_move_count	note
/Volumes/导演们/阿贝尔·冈斯/拿破仑	/Volumes/导演们/阿贝尔·冈斯/拿破仑/拿破仑.Napoleon.1927.Abel.Gance.Coppola.avi	2	0	
/Volumes/导演们/贝拉·塔尔/麦克白	/Volumes/导演们/贝拉·塔尔/麦克白/麦克白.Macbeth.1982.II.orig.mkv	1	0	paired sidecar: Macbeth (1982_II).orig.sub
/Volumes/导演们/贝特朗·布里叶/不伦之恋	/Volumes/导演们/贝特朗·布里叶/不伦之恋/不伦之恋.Beau-pere.1981.DVDRip.DivX.Fr.mp4	1	0	paired sidecar: 不伦之恋.Beau-pere.1981.DVDRip.DivX.Fr.sub
/Volumes/导演们/贝特朗·布里叶/感谢你生活	/Volumes/导演们/贝特朗·布里叶/感谢你生活/感谢你生活.Merci.la.vie.1991.Bertrand.Blier.DVD.XviD.FR.mp4	1	0	paired sidecar: 感谢你生活.Merci.la.vie.1991.Bertrand.Blier.DVD.XviD.FR.sub
/Volumes/导演们/贝特朗·布里叶/我们的故事	/Volumes/导演们/贝特朗·布里叶/我们的故事/我们的故事.Notre.histoire.1984.DVD.XviD.FR.mp4	1	0	paired sidecar: 我们的故事.Notre.histoire.1984.DVD.XviD.FR.sub
/Volumes/导演们/达米彦·奥图/深呼吸	/Volumes/导演们/达米彦·奥图/深呼吸/深呼吸.Le.souffle.2001.mkv	1	0	paired sidecar: 深呼吸.Le.souffle.2001.chs.sub
/Volumes/导演们/法兰提塞·维拉席/阿德尔海	/Volumes/导演们/法兰提塞·维拉席/阿德尔海/阿德尔海.Adelheid.1970.avi	1	0	paired sidecar: 阿德尔海.Adelheid.1970.sub
/Volumes/导演们/费尔南多·索拉纳斯/南方	/Volumes/导演们/费尔南多·索拉纳斯/南方/南方.Sur.Fernando.E.Solanas.1988.avi	1	0	paired sidecar: 南方.Sur.Fernando_E._Solanas.1988.sub
/Volumes/导演们/费尔南多·索拉纳斯/探戈,加德尔的放逐	/Volumes/导演们/费尔南多·索拉纳斯/探戈,加德尔的放逐/探戈.加德尔的放逐.Tangos.el.exilio.de.Gardel.1985.avi	1	0	
/Volumes/导演们/霍华德·霍克斯/约克军曹	/Volumes/导演们/霍华德·霍克斯/约克军曹/约克军曹.Sergeant.York.1941.DVDRip.X264.AAC-jeffWen.mkv	1	0	paired sidecar: 约克军曹.Sergeant.York.1941.DVDRip.X264.AAC-jeffWen.eng.sub
/Volumes/导演们/霍华德·霍克斯/绅士爱美人	/Volumes/导演们/霍华德·霍克斯/绅士爱美人/绅士爱美人.Gentlemen.prefer.blondes.1953.DVDRip.Xvid-SOUTHSiDE.mp4	1	0	paired sidecar: 绅士爱美人.Gentlemen.prefer.blondes.1953.DVDRip.Xvid-SOUTHSiDE.sub
/Volumes/导演们/莫尼切利/大战争	/Volumes/导演们/莫尼切利/大战争/大战争.La.grande.guerra.1959.cn.avi	3	0	
/Volumes/导演们/谢盖尔·帕拉杰诺夫/苏拉姆城堡的传说	/Volumes/导演们/谢盖尔·帕拉杰诺夫/苏拉姆城堡的传说/苏拉姆城堡的传说.Suram.Fortress.1984.Paradjanov.avi	1	0	paired sidecar: Suram.Fortress.1984.Paradjanov.sub
