# status	folder	message
DONE	/Volumes/导演们/路易斯·布努埃尔/墨西哥巴士奇遇	completed 2026-07-17 20:14:04; output=/Volumes/导演们/路易斯·布努埃尔/墨西哥巴士奇遇.Subida.al.cielo.1952.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/奇异的激情	completed 2026-07-17 20:14:56; output=/Volumes/导演们/路易斯·布努埃尔/奇异的激情.El.1952.DVDRip.XviD-QiX.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/帕欧的火山	completed 2026-07-17 20:15:53; output=/Volumes/导演们/路易斯·布努埃尔/帕欧的火山.La.Fievre.Monte.a.El.Pao.1959.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/没有爱的女人	completed 2026-07-17 20:20:43; output=/Volumes/导演们/路易斯·布努埃尔/没有爱的女人.Una.Mujer.sin.amor.1952.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/泯灭天使	completed 2026-07-17 20:21:25; output=/Volumes/导演们/路易斯·布努埃尔/泯灭天使.El.angel.exterminador.1962.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/纳萨林	completed 2026-07-17 20:22:12; output=/Volumes/导演们/路易斯·布努埃尔/纳萨林.Nazarin.1958.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/这就叫黎明	completed 2026-07-17 20:24:45; output=/Volumes/导演们/路易斯·布努埃尔/这就叫黎明.Cela.s'appelle.l'aurore.1956.mkv
DONE	/Volumes/导演们/路易斯·布努埃尔/银河	completed 2026-07-17 20:25:20; output=/Volumes/导演们/路易斯·布努埃尔/银河.Luis.Bunuel.-.le.Voie.Lactee.1969.mkv
DONE	/Volumes/导演们/罗伯特·奥尔特曼/像我们一样的强盗	completed 2026-07-17 20:25:54; output=/Volumes/导演们/罗伯特·奥尔特曼/像我们一样的强盗.Theives.Like.Us.1974.mkv
DONE	/Volumes/导演们/罗伯特·奥尔特曼/秘密的荣耀	completed 2026-07-17 20:26:26; output=/Volumes/导演们/罗伯特·奥尔特曼/秘密的荣耀.Secret.Honor.1984.mkv
DONE	/Volumes/导演们/马克斯·奥菲尔斯/伯爵夫人的耳环	completed 2026-07-17 20:29:28; output=/Volumes/导演们/马克斯·奥菲尔斯/伯爵夫人的耳环.Madame.de.1953.DVDrip.XviD.AC3.iNT-alaundo.mkv
DONE	/Volumes/导演们/米洛斯·福尔曼/消防员舞会	completed 2026-07-17 20:30:13; output=/Volumes/导演们/米洛斯·福尔曼/消防员舞会.The.Firemens.Ball.1967.mkv
DONE	/Volumes/导演们/米洛斯·福尔曼/爵士年代	completed 2026-07-17 20:31:11; output=/Volumes/导演们/米洛斯·福尔曼/爵士年代.Ragtime.1981.mkv
DONE	/Volumes/导演们/约翰·福特/荒漠义侠[字幕需调整]	completed 2026-07-17 20:31:38; output=/Volumes/导演们/约翰·福特/荒漠义侠.3.Godfathers.1948.字幕需调整.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/买起唐人经纪	completed 2026-07-17 20:32:17; output=/Volumes/导演们/约翰·卡萨维茨/买起唐人经纪.The.Killing.of.a.Chinese.Bookie.-.John.Cassavetes.1976.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/天下父母心	completed 2026-07-17 20:33:03; output=/Volumes/导演们/约翰·卡萨维茨/天下父母心A.Child.Is.Waiting.1963.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/夫君	completed 2026-07-17 20:33:33; output=/Volumes/导演们/约翰·卡萨维茨/夫君.Husbands.1970.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/影子	completed 2026-07-17 20:34:04; output=/Volumes/导演们/约翰·卡萨维茨/影子.Shadows.1959.John.Cassavetes.mkv
DONE	/Volumes/导演们/约翰·卡萨维茨/面孔	completed 2026-07-17 20:34:47; output=/Volumes/导演们/约翰·卡萨维茨/面孔.Faces.1968.John.Cassavetes.mkv
DONE	/Volumes/导演们/河濑直美/萌之朱雀	completed 2026-07-17 20:35:10; output=/Volumes/导演们/河濑直美/萌之朱雀.Naomi.Kawase-Moe.no.suzaku.1997.mkv
DONE	/Volumes/导演们/罗曼·波兰斯基/怪房客	completed 2026-07-17 20:35:45; output=/Volumes/导演们/罗曼·波兰斯基/房客.The.Tenant.(Roman.Polanski).1976.DVDRIP.XviD.mkv
DONE	/Volumes/导演们/盖伊·马丁/世界上最悲伤的音乐	completed 2026-07-17 20:36:32; output=/Volumes/导演们/盖伊·马丁/世界上最悲伤的音乐.the.Saddest.Music.in.the.World.2003.SMz.mkv
DONE	/Volumes/导演们/盖伊·马丁/我的温尼伯湖	completed 2026-07-17 20:37:23; output=/Volumes/导演们/盖伊·马丁/我的温尼伯湖.My.Winnipeg.2007.DVDRiP.XViD-DOCUMENT.mkv
DONE_REVIEW	/Volumes/导演们/盖伊·马丁/钥匙孔	output completed, but folder was not removed: /Volumes/导演们/盖伊·马丁/钥匙孔.keyhole.2011.limited.bdrip.xvid-psychd.mkv
FAILED	/Volumes/导演们/杰兹·斯科利莫夫斯基/栅栏	subtitle encoding detection failed: /Volumes/导演们/杰兹·斯科利莫夫斯基/栅栏/栅栏.Bariera.1966.chs.srt :: 
DONE	/Volumes/导演们/深作欣二/仁义的墓场	completed 2026-07-17 20:39:53; output=/Volumes/导演们/深作欣二/仁义的墓场.Graveyard.of.Honor.1975.mkv
DONE	/Volumes/导演们/深作欣二/无仁义之战	completed 2026-07-17 20:40:56; output=/Volumes/导演们/深作欣二/无仁义之战.Battles.Without.Honor.and.Humanity.1973.mkv
DONE	/Volumes/导演们/施隆多夫/玻璃玫瑰	completed 2026-07-17 20:41:54; output=/Volumes/导演们/施隆多夫/玻璃玫瑰.Homo.Faber.1991.Voyager.mkv
DONE	/Volumes/导演们/施隆多夫/青年特尔勒斯	completed 2026-07-17 20:42:33; output=/Volumes/导演们/施隆多夫/青年特尔勒斯.Young.Torless.1966.mkv
DONE	/Volumes/导演们/斯蒂芬·乌赫尔/网中的太阳	completed 2026-07-17 20:44:30; output=/Volumes/导演们/斯蒂芬·乌赫尔/网中的太阳.Slnko.v.sieti.1962.mkv
DONE	/Volumes/导演们/斯特劳布于勒夫妇/索福克勒斯的安提戈涅	completed 2026-07-17 20:45:03; output=/Volumes/导演们/斯特劳布于勒夫妇/索福克勒斯的安提戈涅.Antigone.1992.Jean-Marie.Straub.Daniele.Huillet.Dvdrip.mkv
DONE	/Volumes/导演们/维拉·希蒂洛娃/(1970)天堂禁果 Ovoce stromu rajských jíme	completed 2026-07-17 20:50:25; output=/Volumes/导演们/维拉·希蒂洛娃/天堂禁果.Ovoce.stromu.rajskych.jime.1970.Fruit.of.paradise.mkv
DONE	/Volumes/导演们/维拉·希蒂洛娃/(1979)预制板的故事 Panelstory aneb Jak se rodí sídliste	completed 2026-07-17 20:58:11; output=/Volumes/导演们/维拉·希蒂洛娃/预制板的故事.Panelstory-aneb-Jak-se-rodí-sídliště-.1979.-czdub.mkv
DONE	/Volumes/导演们/阿贝尔·冈斯/[决战奥斯特里兹].Austerlitz	completed 2026-07-17 21:01:41; output=/Volumes/导演们/阿贝尔·冈斯/决战奥斯特里兹.AUSTERLITZ.1960.DVDrip.by.Galmuchet.mkv
DONE	/Volumes/导演们/阿贝尔·冈斯/拿破仑	completed 2026-07-17 21:04:47; output=/Volumes/导演们/阿贝尔·冈斯/拿破仑.Napoleon.1927.Abel.Gance.Coppola.mkv
DONE	/Volumes/导演们/贝拉·塔尔/麦克白	completed 2026-07-17 21:05:06; output=/Volumes/导演们/贝拉·塔尔/麦克白.Macbeth.1982.II.orig.mkv
DONE	/Volumes/导演们/贝特朗·布里叶/不伦之恋	completed 2026-07-17 21:06:08; output=/Volumes/导演们/贝特朗·布里叶/不伦之恋.Beau-pere.1981.DVDRip.DivX.Fr.mkv
DONE	/Volumes/导演们/贝特朗·布里叶/感谢你生活	completed 2026-07-17 21:07:14; output=/Volumes/导演们/贝特朗·布里叶/感谢你生活.Merci.la.vie.1991.Bertrand.Blier.DVD.XviD.FR.mkv
DONE	/Volumes/导演们/贝特朗·布里叶/我们的故事	completed 2026-07-17 21:08:13; output=/Volumes/导演们/贝特朗·布里叶/我们的故事.Notre.histoire.1984.DVD.XviD.FR.mkv
DONE	/Volumes/导演们/达米彦·奥图/深呼吸	completed 2026-07-17 21:08:42; output=/Volumes/导演们/达米彦·奥图/深呼吸.Le.souffle.2001.mkv
DONE	/Volumes/导演们/法兰提塞·维拉席/阿德尔海	completed 2026-07-17 21:10:23; output=/Volumes/导演们/法兰提塞·维拉席/阿德尔海.Adelheid.1970.mkv
DONE	/Volumes/导演们/费尔南多·索拉纳斯/南方	completed 2026-07-17 21:12:49; output=/Volumes/导演们/费尔南多·索拉纳斯/南方.Sur.Fernando.E.Solanas.1988.mkv
FAILED	/Volumes/导演们/费尔南多·索拉纳斯/探戈,加德尔的放逐	unexpected files found in /Volumes/导演们/费尔南多·索拉纳斯/探戈,加德尔的放逐
DONE	/Volumes/导演们/霍华德·霍克斯/约克军曹	completed 2026-07-17 21:14:17; output=/Volumes/导演们/霍华德·霍克斯/约克军曹.Sergeant.York.1941.DVDRip.X264.AAC-jeffWen.mkv
DONE	/Volumes/导演们/霍华德·霍克斯/绅士爱美人	completed 2026-07-17 21:15:12; output=/Volumes/导演们/霍华德·霍克斯/绅士爱美人.Gentlemen.prefer.blondes.1953.DVDRip.Xvid-SOUTHSiDE.mkv
DONE	/Volumes/导演们/莫尼切利/大战争	completed 2026-07-17 21:20:32; output=/Volumes/导演们/莫尼切利/大战争.La.grande.guerra.1959.cn.mkv
DONE	/Volumes/导演们/谢盖尔·帕拉杰诺夫/苏拉姆城堡的传说	completed 2026-07-17 21:25:48; output=/Volumes/导演们/谢盖尔·帕拉杰诺夫/苏拉姆城堡的传说.Suram.Fortress.1984.Paradjanov.mkv
DONE	/Volumes/导演们/阿莱克斯·德拉·伊格来希亚/闪灵双煞	completed 2026-07-17 21:27:42; output=/Volumes/导演们/阿莱克斯·德拉·伊格来希亚/闪灵双煞.Perdita.Durango.1997.iNTERNAL.DVDRiP.x264-tehPARADOX.mkv
FAILED	/Volumes/导演们/阿兰·卡瓦利埃/狂乱	subtitle UTF-8 normalization failed: /Volumes/导演们/阿兰·卡瓦利埃/狂乱/狂乱.La.Chamade.1968.srt
DONE	/Volumes/导演们/阿历克塞·巴拉巴诺夫/兄弟	completed 2026-07-17 21:28:16; output=/Volumes/导演们/阿历克塞·巴拉巴诺夫/兄弟.Brat.1997.Rus.mkv
FAILED	/Volumes/导演们/阿历克塞·巴拉巴诺夫/锅炉工	subtitle encoding detection failed: /Volumes/导演们/阿历克塞·巴拉巴诺夫/锅炉工/锅炉工.Kochegar.2010.XviD.DVDRip.chs.2.srt :: 
DONE	/Volumes/导演们/埃利达尔·梁赞诺夫/意大利人在俄罗斯的奇遇	completed 2026-07-17 21:28:52; output=/Volumes/导演们/埃利达尔·梁赞诺夫/意大利人在俄罗斯的奇遇.Unbelievable.Adventures.of.Italians.In.Russia.1974.ACT.location.cn.mkv
DONE	/Volumes/导演们/刘别谦/有声片/天堂陷阱	completed 2026-07-17 21:29:21; output=/Volumes/导演们/刘别谦/有声片/天堂陷阱.Trouble.in.Paradise.1932.mkv
FAILED	/Volumes/导演们/刘别谦/有声片/街角的商店	unexpected files found in /Volumes/导演们/刘别谦/有声片/街角的商店
DONE	/Volumes/导演们/帕索里尼/定理	completed 2026-07-17 21:29:47; output=/Volumes/导演们/帕索里尼/定理.Teorema.1968.Pier.Paolo.Pasolini.DVDRip.XviD-KiNESiS.mkv
DONE	/Volumes/导演们/佩德罗·科斯塔/血	completed 2026-07-17 21:30:42; output=/Volumes/导演们/佩德罗·科斯塔/血.The.Blood.1989.PROPER.DVDRip.XviD-WRD.mkv
